t,nCreatures,nFood
744,48,78
745,46,76
746,43,75
747,39,76
748,38,83
749,35,80
750,36,80
751,35,82
752,36,77
753,37,83
754,39,85
755,36,85
756,39,90
757,41,91
758,43,91
759,44,86
760,44,85
761,44,88
762,44,82
763,42,85
764,47,89
765,50,87
766,52,88
767,53,80
768,49,70
769,49,73
770,49,75
771,47,69
772,49,64
773,50,63
774,53,67
775,53,77
776,55,70
777,55,68
778,55,74
779,53,79
780,49,75
781,48,71
782,45,72
783,46,69
784,52,66
785,49,72
786,47,65
787,50,54
788,54,55
789,55,52
790,59,51
791,61,53
792,57,55
793,55,54
794,50,50
795,51,50
796,52,44
797,55,40
798,52,39
799,47,34
800,48,37
801,46,37
802,43,44
803,43,51
804,40,52
805,37,50
806,35,55
807,33,56
808,31,70
809,31,67
810,34,73
811,33,74
812,34,75
813,36,73
814,40,67
815,37,67
816,41,72
817,40,77
818,37,74
819,40,72
820,39,72
821,37,77
822,32,73
823,31,76
824,34,82
825,37,88
826,37,85
827,36,85
828,35,96
829,35,96
830,33,99
831,32,104
832,31,109
833,36,112
834,35,119
835,35,121
836,33,123
837,38,120
838,37,128
839,38,127
840,37,131
841,36,130
842,35,124
843,35,131
844,37,131
845,38,129
846,39,127
847,39,128
848,34,127
849,33,134
850,33,140
851,36,137
852,35,138
853,35,146
854,32,145
855,34,148
856,37,147
857,39,143
858,38,142
859,37,141
860,38,141
861,42,135
862,39,142
863,40,142
864,41,144
865,40,140
866,38,141
867,38,141
868,40,142
869,38,141
870,36,130
871,36,131
872,39,129
873,38,136
874,43,126
875,42,125
876,40,120
877,35,121
878,36,126
879,45,120
880,48,114
881,49,113
882,47,97
883,45,95
884,45,81
885,47,75
886,42,80
887,43,79
888,42,78
889,41,74
890,40,75
891,35,79
892,36,78
893,40,77
894,38,84
895,39,81
896,37,85
897,35,81
898,34,80
899,34,79
900,36,85
901,36,78
902,37,78
903,40,81
904,37,80
905,33,78
906,33,81
907,34,93
908,33,92
909,30,95
910,33,93
911,34,89
912,33,93
913,32,98
914,30,99
915,30,105
916,28,117
917,26,122
918,27,127
919,26,131
920,24,137
921,23,141
922,22,143
923,24,142
924,26,150
925,26,150
926,28,151
927,23,150
928,23,151
929,26,151
930,25,159
931,24,163
932,26,167
933,26,172
934,32,174
935,32,171
936,34,171
937,40,174
938,38,169
939,34,166
940,32,169
941,32,165
942,31,163
943,28,162
944,32,167
945,36,160
946,35,159
947,36,153
948,37,144
949,40,144
950,39,146
951,40,144
952,43,141
953,47,138
954,48,128
955,45,123
956,45,121
957,43,123
958,44,116
959,46,115
960,47,106
961,48,101
962,46,103
963,45,100
964,46,92
965,46,91
966,48,87
967,44,92
968,44,85
969,40,95
970,38,90
971,37,92
972,35,97
973,34,98
974,38,97
975,40,96
976,39,100
977,39,99
978,39,101
979,47,94
980,47,93
981,50,87
982,53,90
983,52,91
984,49,92
985,51,88
986,48,87
987,50,90
988,49,91
989,48,94
990,49,91
991,48,85
992,49,92
993,47,95
994,48,93
995,47,100
996,47,102
997,48,103
998,49,98
999,48,103
1000,52,95
1001,56,97
